
h_comment_date,h_content_comment,h_rating,h_reviever_helpfulvote,h_reviewer_address,h_reviewer_contribution,h_reviewer_id,h_reviewer_name,h_reviewer_staydate,h_title_comment,h_triptype,h_url
 wrote a review Mar 2,"Great hotel, the concierge and butler could not do enough, providing us with a brand new buggy for our Site seeing tour. Receipt gave us a treasure hunt for our son to complete with a little prize at the end, Margaritas at the bar were exceptional (love margs ) Room was spotless, nice clean decorated very well, loved the electric blinds. only downsides is being charged £8 for a glass of warm milk for our babies bottle, and the electric blackout curtains automatically opening at 8 am, without prior knowledge or the option to change the time, but hotel was perfect in every other way.",50,7,"Manchester, United Kingdom",2,https://www.tripadvisor.com/Profile/leonp826,Leon P,Date of stay: March 2022,Little family trip to London,,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-Pan_Pacific_London-London_England.html
 wrote a review Mar 1,"A thoroughly enjoyable stay. Lovely room, very good food, and a superb team at reception. We particularly appreciated the escort service to and from the car park. The service at breakfast stopped us giving you a 10.
BUT The piped music is grotesquely offensive and for this reason we may well not come again!",40,1,"Chippenham, United Kingdom",10,https://www.tripadvisor.com/Profile/goldenoldies2017,goldenoldies2017,Date of stay: February 2022,A thoroughly enjoyable stay,NA,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or10-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Mar 1,"This hotel has everything you need. very friendly and professional staff plus amazing leisure facilities.

The rooms are amazing. The products they use from body cream to hairdryer top

Spa treatments - from the moment that you walk in the beautiful smell takes you back to be in an Asia island, the relaxation room is jut fab, and the treatments are to die for.",50,NA,NA,1,https://www.tripadvisor.com/Profile/X6243YQdesireer,Desiree r,Date of stay: February 2022,None,Trip type: Traveled on business,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or10-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"Fantastic hotel, lovely and clean, staff amazing helpful in everyday. Room very spacious with great view. Had gone swimming at the pool which was Devine, really romantic sitting there with my partner drinking champagne and swimming. Evening meal at straits kitchen was good, ordered room service in the evening and had breakfast in bed which was excellent.",50,NA,NA,1,https://www.tripadvisor.com/Profile/karlaO9969BY,KARL A,Date of stay: February 2022,Fantastic hotel,Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or10-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"Wow. What a hotel.

I’ve already booked for next month (March), so you can probably tell I’m pretty crazy about this place, given the number of alternatives I could’ve gone for.

The main thing that sets Pan Pacific London apart is the staff. Every member of staff is friendly and courteous - they make every guest feel like a special member of an extended family.

Another incredible element is the quality of the food - Lorraine Sinclair and Cherish Finden really know how to put together a memorable and special meal! Whether that’s afternoon tea, Straits Kitchen, or room service. Everything we had was simply delicious.

We both enjoyed massages with Beatrice in the spa, and her skill was really second to none. I’ve paid more for massages in the past that were nowhere near as good, targeted, relaxing and effective. Cannot wait for another appointment with Beatrice!

The rooms are also incredible - clean, fresh, decadent. And gorgeous Diptyque toiletries too! Also, small things, like having a Nespresso machine in the room really made a difference.

We had a few niggly issues, so why the 5 stars? Quite simply because the team here LISTENS. I got to meet the General Manager and her assistant - both are so committed to making things right and making every guest’s experience enjoyable. I will always give 5 stars when I feel listened to - niggles happen, that’s life, but how problems are handled is what really shows the calibre of a hotel.

Overall, I cannot wait to stay again. This is an incredible addition to the London hotel scene.",50,40,"Bath, United Kingdom",43,https://www.tripadvisor.com/Profile/BeachedExplorers,JessicaW,Date of stay: February 2022,Already Booked Another Stay Next Month!,Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or10-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"Stayed for the weekend to celebrate my Husband's birthday and was blown away by how amazing the team at the Pan Pacific is. A special mention to Tom on Front Desk, and Concierge Vijay, both of whom are definite flag bearers for the exceptional service experience delivered by all the team at the Pan Pacific London!
Our room was an oasis of luxury and comfort, also thoroughly enjoyed Afternoon Tea at the Orchid Lounge, cocktails at Ginger Lily, and the outstanding new Silverleaf bar was a great recommendation too.
Thank you to all the team for making our stay a memorable one, we will certainly be back!",50,118,"London, United Kingdom",51,https://www.tripadvisor.com/Profile/fiontra,fiontra,Date of stay: February 2022,Wow!,Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or10-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"I don’t normally set out to find fault with a hotel but I have to say that there was nothing, absolutely nothing about the Pan Pacific that I could fault or would even want tweaked in any way. Our whole stay was just fantastic. We had taken our four daughters with us for a two night stay to celebrate our twentieth wedding anniversary! The Dyson hairdryers were a real selling point with four teenagers! We also appreciated all the Diptyque products in the bathrooms! We had three double double rooms (two double beds in each) so we had plenty of space. Absolutely everything we could have needed was in the rooms. They were incredibly well stocked. We also used the swimming pool, sauna, steam room which was all just lovely, really relaxing, perfectly clean and the pool has great views over the streets in the City. We were really close to restaurants, shops, Liverpool St Station (for transport options) and Spitalfields Market where we ate a couple of times.

We also enjoyed evening drinks in the bar and the service was impeccable. We didn’t eat breakfast in the hotel but we were able to find plenty of places to eat close by.

What I loved most about the Pan Pacific was how quiet it was. I have stayed in many lovely hotels where noise has been an issue. I heard nothing at nights! That made for a perfect stay.

Well done Pan Pacific!",50,46,"Belfast, United Kingdom",42,https://www.tripadvisor.com/Profile/868DJMBelfast,868DJMBelfast,Date of stay: February 2022,Outstanding!,Trip type: Traveled with family,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or10-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"Just leaving London after a week staying at the Pan Pacific London, we visited with two children aged 7 and 11. The service in the hotel is exceptional and the staff are personable and friendly, the room was airy and clean with great amenities. The pool facilities are some of the best in central London and this was a lovely haven after busy days sight seeing. Bravo Pan Pacific!",50,1,"Beverley, United Kingdom",2,https://www.tripadvisor.com/Profile/andyhoust,andyhoust,Date of stay: February 2022,Amazing Stay with Exceptional Service,Trip type: Traveled with family,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or10-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"I had a wondeful stay and what a delight to be in such a beautifully designed hotel and SO central to everything.

The staff were amazing and super helpful at every moment throughout my stay. The food was exceptional, espeically afternoon tea in the orchard lounge. Also the rooms are modern and comfortable, plus you have view across the city, which is really special. The infinity pool was relaxing and quiet, with comfortable loungers, and the state of the art the gym is well worth a try.

It was first stay with Pan Pacific and I came away feeling rejuvenate, so I would highly recommend it to everyone.",50,1,NA,5,https://www.tripadvisor.com/Profile/Martinraviraj,Martin Raviraj,Date of stay: February 2022,None,Trip type: Traveled on business,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or10-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"Lots of really good points about the pan pacific London - new, modern, immaculate, great facilities.
Good location for business areas.
However, what really stood out most was the focus on world class service and absolute desire to ensure everything was perfect, which it was….almost!",50,26,"Kingston-upon-Hull, United Kingdom",14,https://www.tripadvisor.com/Profile/patricksuk2016,patricksuk2016,Date of stay: February 2022,Pan Pacific London,Trip type: Traveled with family,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or10-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"The hotel was fabulous, the staff were amazing and the facilities, food and drink were incredible. Definitely looking at when I can book my next trip. Was made to feel special from the moment I arrived.",50,1,"Canterbury, United Kingdom",4,https://www.tripadvisor.com/Profile/kimcottington1,Kim C,Date of stay: February 2022,A definite 5 star experience,NA,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or10-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"Stayed for 3 nights over the weekend on our first visit to this new hotel.

Excellent stay - service was great from every staff member. Rooms are beautiful and comfortable and received a complimentary upgrade to a Deluxe View room on the 15th floor. really comfortable, best sleep in a hotel in ages, very quiet and no disturbances.
We ate and had cocktails in Ginger Lily the first evening, small bar and very dark which made reading menus a little difficult. The food we ordered came quickly and was incredibly fresh and tasty. Cocktails were good.

we also had tea one morning in Orchid Lounge - beautiful space and tea set up but disappointingly the breakfast tea itself didn't really taste of anything which was a shame - maybe need to work on this to improve as the complimentary tea in the room was really superior.",50,18,"Edinburgh, United Kingdom",70,https://www.tripadvisor.com/Profile/edin74c,Edin74c,Date of stay: February 2022,great stay in best new 5 star hotel,NA,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or20-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,In 30 years of travelling and staying at many 5 AND 6 star hotels in a variety of locations this was probably one of the best I’ve ever stayed at. Food was very good. Drinks were good. Service was extremely good and quick. The staff couldn’t do enough for you. The only tiny thing that marred an otherwise perfect trip was the room temp. It took 24 hours to get the room to COOL and the room service team then turned it back to warm 21C again. I can’t sleep unless the room is COOL/COLD and I think a lot of people are like that. I think next time i will phone ahead and ask them to turn the temp in the room right down.,50,3,"London, United Kingdom",14,https://www.tripadvisor.com/Profile/Bubblefish777,Bubblefish777,Date of stay: February 2022,Only one tiny issue during the whole stay.,NA,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or20-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"We loved our first stay at the Pan Pacific. We were celebrating a birthday and this was acknowledged by the hotel upon check in and with a complimentary bottle of wine in the room. We also received complimentary drinks in both Silverleaf and Ginger Lily.

Even without these extras (which were much appreciated), we found the hotel to be very modern with great staff and a real five star experience. We had a deluxe room which is their entry level standard, on the eighth floor (there are 19 floors). The room was very smart, quite spacious and had a good view of the gherkin from the floor to ceiling windows. Great shower room and amenities throughout. Very comfortable super king size bed.

We had drinks in Silverleaf before heading elsewhere for dinner. The bar is in a separate building to the hotel and we met friends there. Although it was very quiet as it was only 6pm, all staff were very friendly and helpful - explaining the quite high-concept cocktail experience. But it was all fun and an interesting start to the evening.

We returned to the hotel after dinner for drinks in Ginger Lily, which again we enjoyed. I would say I preferred the ambience and setting of Silverleaf overall - more spacious.

Breakfast was fine - we had the continental buffet. There was a long delay in our coffee arriving. But this was acknowledged by the staff and apologised for.

Check out was very quick and smooth with a taxi arriving a couple of minutes after our request.

We will definitely stay here again, it was an excellent experience overall and we have been lucky enough to stay in a number of five star London hotels,",50,72,NA,128,https://www.tripadvisor.com/Profile/JAHhotels1964,JackieH,Date of stay: February 2022,Excellent luxury hotel experience,Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or20-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"Superb staff and beautiful hotel
Cannot rate our experience highly enough
Highly recommend and would say probably best experience we have had in a London hotel.
The staff make this hotel what it is and cannot do enough for you. The room was beautiful and finished to a top standard.
If you get the chance go and try it you will not be disappointed",50,1,"Retford, United Kingdom",10,https://www.tripadvisor.com/Profile/markandemily1987,Mark,Date of stay: February 2022,Amazing staff in a beautiful hotel,Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or20-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"I felt very special during my visit! all the special requirements I had asked for upfront (regarding luggage storage and possible late check out) were remembered, followed up with and confirmed upon check in. Also when I unexpectedly had to extend my stay due to the storm this was no problem at all and staff was super helpful and friendly. It almost made me wish for the storm to last longer:)

Nicola gave us a tour of the building and he was so committed and had such great energy I could totally share his excitement and I could 100% relate to the passion he feels towards the hotel. Also the great amount of detail in so many aspects made me appreciate the hotel even more. I will definitely make time to check out the remaining services and facilities the hotel has to offer next time I visit.",50,NA,NA,1,https://www.tripadvisor.com/Profile/FZZ2022,Farial,Date of stay: February 2022,Business Trip,Trip type: Traveled on business,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or20-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"Stayed in the hotel for 4 nights, service exceptional, staff professional, rooms spacious and well equipped, we were on the 14th floor great views over East London and beyond well serviced if you travel into Liverpool Street easy access to the underground lines,",50,39,"Sudbury, United Kingdom",113,https://www.tripadvisor.com/Profile/michaelhA826DR,Michael H,Date of stay: February 2022,40th Wedding Anniversary,NA,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or20-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"Great service and beautiful rooms, a luxury base for a city break in a convenient location. Pool was stylish and quiet with plenty of comfortable loungers, water temperature on the cool side though. Would return without hesitation",50,10,"Cardiff, United Kingdom",19,https://www.tripadvisor.com/Profile/belska1971,belska1971,Date of stay: February 2022,None,NA,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or20-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"From the moment we arrived everything was perfect a big thank you to VJ he really did go above and beyond to make sure everyone was happy, also like to say thank you to the rest of the team we will be back very soon",50,NA,"London, United Kingdom",7,https://www.tripadvisor.com/Profile/markKopfi,Mark S,Date of stay: February 2022,Fantastic,Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or20-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"We had such a great experience with Pan Pacific. The staff is absolutely professional, kind and helpful. The food - delicious. The room and toiletries were complete. The pool is amazing also the view, but the only thing we did not liked it was that the pool was a not heated. Overall this place is heaven.",50,6,"Manchester, United Kingdom",19,https://www.tripadvisor.com/Profile/annasygg,Ana-Maria C,Date of stay: September 2021,The best place to sleep in London,Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or20-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,I surprised my boyfriend for his birthday with a stay at the Pan Pacific. Upon arrival we was immediately upgraded. Our room was excellent and the service 5*! I had arranged balloons for the room which was perfect and the Spa facilities are wonderful. I highly recommend staying here. The staff always have a smile upon their face and are so happy to help with any request you may have.,50,NA,NA,1,https://www.tripadvisor.com/Profile/874jessiea,JessA,Date of stay: February 2022,Amazing night away - Wish we stayed longer,NA,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or20-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"This doesn’t need a long review, the Pan Pacific London in simply amazing from start to finish ! It’s a beautiful hotel, amazing staff, amazing service ! Beautiful place ! The highlight for us was the welcome we received, Callum at the front desk has been amazing for the two days we spent here! We will be returning ! (The wife also loves that the hairdryer in the room was one of the awesome Dyson ones … apparently lol ! )
Thank you Pan Pacific and thank you again to Callum",50,37,"London, United Kingdom",41,https://www.tripadvisor.com/Profile/RickPen,RickPen,Date of stay: February 2022,Fantastic !,Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or30-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"A lovely weekend celebrating my partners birthday. Staying in a Premium room, the views were great and the room itself was very well appointed and spotless. 2 mins from Liverpool Street Station despite being a little further out than other luxury hotels it is well worth a stay. The staff were friendly and helpful, nothing was too much trouble. Special mention to Tom who is a true asset to the hotel. We had our room upgraded, had a personal note awaiting us in the room to welcome us and felt well looked after.",50,9,London,21,https://www.tripadvisor.com/Profile/SER1982,SER1982,Date of stay: February 2022,"A great stay, highly recommended",Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or30-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"Just home from a wonderful stay in Pan Pacific, London. From the minute you arrive, tranquillity awaits. The swimming pool, room decor and service, including in room dining, was flawless.

Thank you Rita and the rest of the Front Office Team for ensuring our stay was more than we wished for.

We will be back!",50,NA,"London, United Kingdom",2,https://www.tripadvisor.com/Profile/111GKD,111X,Date of stay: February 2022,A dreamy experience in the city!,Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or30-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"This hotel is incredible! Just a 1 minute walk from Liverpool Street tube, it’s brand new and we had the best time. We arrived early so they took our luggage for us whilst we went to Tower of London, we came back around 1:30 and they let us into our room early. They’d arranged balloons, cookies and an activity back for our little ones, as well as organising a treasure hunt for them to get a prize. So lovely !!! Everyone at reception was so friendly and welcoming. Thanks to Tom.

The room was immaculate, we had 2 doubles… it was gorgeous, we didn’t have much of a view on the 14th floor but also we didn’t pay the most expensive rate. Bathroom and shower, diptyque products all fantastic. Rooms were cleaned to the highest standard with lovely water, teas coffees, robes etc. And the shower one of the best I’ve ever had.

The children’s swimming times were from 4pm in the afternoon so we went down and all the staff were very friendly. The pool was well kept, lots of towels, a lady handing out water. If it was busy I’m not sure there would be enough beds but it is London. The only gross thing is one child spat out their chewing gum and left it on the side. The pool is quite nippy too! A lovely steam/sauna in the changing rooms though

The staff were incredible here, everyone is so friendly and nothing is too much trouble.

Ok the actual area isn’t the best in London for us as it’s quite corporate with all the banks around, but it’s near spitalifields and lots of good cafes, restaurants. The weather was awful so we ate in Straits for dinner. Singaporean food, absolutely delicious and catered for children. Expensive though so we opted for a coffee shop for breakfast.

Thanks for a great time",50,130,"Ascot, United Kingdom",350,https://www.tripadvisor.com/Profile/U1978ESrachelk,Rachel K,Date of stay: February 2022,The best stay,Trip type: Traveled with family,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or30-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"The hotel is new-I think it opened towards the end of 2021. The decor is stunning with beautiful clean lines and warm colour schemes, creating a calming atmosphere. The bed was so comfortable and our room was spotlessly clean. The Diptyque toiletries were a lovely touch too. The staff are what really make this hotel special. They are warm, welcoming and approachable, and not what you expect for a 5 star London hotel where some staff members can occasionally be a little stuffy and cold. I really appreciated the extra effort made to interact with guests. We even had 2 lovely members of staff deliver my husband a slice of cake for his birthday whilst singing 'Happy Birthday' to him. This was such an entertaining and thoughtful touch. We can't wait to return. Thank you to the entire wonderful team. You really are special and in turn, made us feel really special.",50,55,"Horsham, United Kingdom",72,https://www.tripadvisor.com/Profile/KDavies,KDavies,Date of stay: February 2022,Incredible stay and I can't wait to return,Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or30-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"My Wife and I often have a night or two as a getaway in The City every couple of months. We've stayed in a lot of hotels over the years in the area, mostly high end, including the likes of The Ned and The Vintry and Mercer. The Pan Pacific is the best yet, and our new favourite. We booked two nights but added a third.

The style of the hotel is stunning, modern, light and uplifting. The Spa is fantastic; the swimming pool is ideal. Plenty of room to grab a bed; never too busy, and a long pool for some lengths. The air temperature is kept warm so when you get out you never feel cold. The steam room is very.... steamy, as opposed to the ones that are more like lukewarm wet rooms

The room was also stunning, a big shower, bath, modern, perfectly clean. Electric curtains, large TV that could be angled as you needed. The bed was huge and comfortable.

Connectivity is great, with Liverpool Street just over the road providing quick access to the Central line (a s well as others), and loads of great, local choices to eat or shop just a stones throw away. Everything from the Duck and Waffle and Ivy, to a Tesco Express and McDonalds, all within a couple of minutes walk.

Best of all, the staff. The service is impeccable; Every member without fail were always smiling, happy, and interesting to talk to. You can feel the difference; it's a genuine happiness and interest, and not fake because they are told to do so.

Of course, this all comes at a price and it's far from the cheapest hotel you'll find, but compared to competitors it's great value for money given the experience and well worth it. Our previous favourite, The Ned, has become extortionate in price. Pan Pacific sits just below it in price but in our opinion exceeds it in every aspect. We would love to see some multi night offers at some point to keep it affordable so we can visit more often.

It goes without saying, of course we'll be back.",50,11,"Portsmouth, England, United Kingdom",9,https://www.tripadvisor.com/Profile/elliotp737,Elliot P,Date of stay: February 2022,So amazing we stayed an extra night.,NA,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or30-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"Walter was so lovely to us on arrival and took his time explaining all the amenities to us even though we were only there for the night, super friendly and cheerful, all of the staff at pan pacific were amazing.",50,NA,NA,2,https://www.tripadvisor.com/Profile/kelechio125,Kelechi O,Date of stay: February 2022,Thank you Walter,Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or30-Pan_Pacific_London-London_England.html#REVIEWS
 wrote a review Feb 2022,"everything was more than perfect. love everything, every small details of this amazing hotel. it's newly opened. just in September. away from Central London but that's what I was looking for. but still with the underground you will be there within minutes. the hotel has a great friendly team. I am gonna call them that because they do work as a team to make sure that the guest is more than comfortable at their hotel. WOLTER he is the first Guy I noticed when I left the car even before entering the hotel. he has a good sense of humor, very welcoming and friendly he was with us until we entered our room and told us great information about the hotel and explained everything to us. then my experience begin when I entered the hotel. everyone was welcoming us and ask if we had a good trip to the hotel. and trying to help. TOM at reception, he is very friendly. tried his best to make sure that we are happy and comfortable with our room. and he recommended us with a room that has a great view. and I am a glad that I took that room. it has a great view which I enjoyed day and night. ( thank you TOM for being a part of our lovely experience at pan pacific . And also CHRISTOPHER at the reception. honestly the reception team are just ( great ). also TOM at the Concierge, he helped me with everything and arranged for my PCR test so I wasn't worry about anything and just enjoying my time over there. ( in general the Concierge team are really great and trying their best to make you happy). CYRIL ( the man with the smile that you can feel even behind the face mask) was always there. asking if we need anything. and if we are enjoying our time. HE is always checking when we passed by him. every name that I mentioned above they always ask and check.THANK YOU pan pacific team for every moment that I enjoyed. definitely will come again next year.",50,1,Doha,2,https://www.tripadvisor.com/Profile/manawy,M ALGHAILANI,Date of stay: February 2022,Amazing experience,Trip type: Traveled with family,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-or30-Pan_Pacific_London-London_England.html#REVIEWS
